username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Clancy Moody,772908922235564032,"Tacoma, WA",2023-01-22 19:34:29,@ndkirschmann @hoserdownsouth @JonathanQuist The problem is made worse when you have entire states and their govern… https://t.co/WbBTidFNAl,0,Twitter for Android,
Peter D,1445431041498382338,"Seattle, WA",2023-01-22 19:29:39,@MichaelDaignau3 Can we safely say that SARS-CoV2 is now an endemic virus that will start following a seasonal patt… https://t.co/CFS6klnstd,0,Twitter for iPhone,
An American Gypsy,1280497598957314049,From sea to shining sea. ,2023-01-22 18:45:23,"@TonyHussein4 Biden &amp; Democrats: Do not negotiate with terrorists. 

Trust that cuts to Social Security &amp; Medicaid/… https://t.co/gq4wIWO0hx",2,Twitter Web App,
BowTiedShark,1392351094139875328,Under the sea,2023-01-22 18:26:31,"@danzyl66 Or maybe it’s to curb obesity that disproportionately effects LI HH

Or lower healthcare costs for LI  wh… https://t.co/FgehyXJrnM",0,Twitter for iPhone,
William D. Flitter,153461843,"Bainbridge Island, WA",2023-01-22 18:16:29,@ScottforFlorida Tell us about the billions that you got from deceiving healthcare providers.,0,Twitter for iPhone,
Mosio | for Research,11006,San Francisco | Seattle,2023-01-22 18:16:02,"Wearable tech, AI and clinical teams join to change the face of trial monitoring https://t.co/nV6oU1Izst #wearables… https://t.co/6YcNRHqNiB",0,Buffer,
BowTiedShark,1392351094139875328,Under the sea,2023-01-22 18:02:44,"@danzyl66 I know how it works. How does that have to do with freedom of choice? 

They have a choice. Get a job and… https://t.co/HjB45FOBzs",0,Twitter for iPhone,
KOMO News,16086928,"Seattle, WA",2023-01-22 17:30:00,"""We want to make it clear that our coalition supports treatment centers, just not at the expense of the safety of o… https://t.co/Rzg8RaF7CH",3,TweetDeck,
Prannay P,1583864145359044608,Seattle,2023-01-22 17:28:00,"Software for selling Healthcare services like On-demand doctor, nurse or mental health
https://t.co/Mk3M0GJmSj",0,Twitter Web App,
"buccal fat restoration services, LLC.",241999347,"Seattle, WA",2023-01-22 17:23:00,"@nathaliejacoby1 You keep asking these questions, to which the answer will continue to be US healthcare",0,Twitter for iPhone,
AnnaMaria Stephens,275155106,"Seattle, WA",2023-01-22 16:57:20,"@Ms_Deathwish @ShanonBeckPA And that person lives in the USA where many, many people have minimal access to healthc… https://t.co/VIKU1hSbpj",0,Twitter for iPhone,
Gregory Knight,34127769,By the sea,2023-01-22 16:17:39,@lmphashby @TakFujiBeats @DiamondandSilk Anaphylaxis after COVID-19 vaccination is rare and has occurred at a rate… https://t.co/H0Gj8kEeHW,0,Twitter for iPhone,
Trix Da Gnome #TeamIrene 🏳️‍🌈,29043468,"Kent, WA",2023-01-22 16:14:21,@SDECoxHealth A friend of mine discussed this in a LinkedIn post how hospitals are being blamed for the high cost o… https://t.co/FfmO8DDnFl,0,Twitter for iPhone,
Mosio | for Research,11006,San Francisco | Seattle,2023-01-22 16:00:04,Ensuring Better Patient Experience And Outcomes Through Artificial Intelligence https://t.co/CWursxUwAY… https://t.co/sUBdhKg7vc,2,Buffer,
Mr. Nurse,1445732864205615108,Seattle,2023-01-22 15:52:30,"@Anshar_Primevil @choeshow Voting rights for all, healthcare for all, LGBTQ rights, less police violence, abortion… https://t.co/cZxJ1O1ooB",0,Twitter Web App,
Mathew Renner 🇺🇸🇺🇦,35700479,Des Moines WA,2023-01-22 15:45:10,@darinolson I served in the military so I know what universal Healthcare will be like in America. 2. Creating an ec… https://t.co/oNQZMIwzKL,0,Twitter Web App,
Rob Wood,1193643389016690691,"Seattle, USA",2023-01-22 15:42:53,"@jpitney @IACC_Autism Back in '98 when I was trying to get a diagnosis for my autistic son, I went to 5-6 healthcar… https://t.co/Vl5geHqyDc",0,Twitter Web App,
WordRake,902495816,"Seattle, WA",2023-01-22 15:01:01,Help patients understand medical information and make truly informed decisions. Read this article by award-winning… https://t.co/75a11H7TVU,0,HubSpot,
AlgosRus.com,946738256774705153,"Seattle, WA",2023-01-22 13:58:30,Make a difference in patients' lives and join our on-demand doctor platform for telemedicine services.… https://t.co/u7EYxvHBRr,0,Twitter Web App,
Chris,1298691450285125632,"Seattle, WA",2023-01-22 12:53:56,@CitizenColumn @PaulRiveraNews @komonews Part of housing first is investing in drug treatment and mental healthcare… https://t.co/HAtbC0J26I,0,Twitter for Android,
Irene Stupka,15852018,Seattle,2023-01-22 12:12:49,'healthcare' without the care or even the health :( and a side of racism &gt;:( https://t.co/h84oJk6nYe,0,Twitter for Android,
FocusGroups.org,3726519792,"Seattle, WA",2023-01-22 09:51:50,"Online Focus Group for Healthcare Patients 
https://t.co/bcYP2TPy1k https://t.co/LChNTudmNI",1,Zapier.com,
Carrie LaMarr,162908023,"Seattle, WA",2023-01-22 09:48:20,@KevinGSWatt @ColleenBower @DrAmirKhanGP It is not enough to state a blanket “European healthcare system” where the… https://t.co/ngfFi55Ewu,0,Twitter for iPhone,
Duncan Bowring,44495453,"Seattle, WA",2023-01-22 09:04:55,"@mdf200 Give away freedom of movement rights, give away the healthcare at no cost at point of use.. what’s next? Vi… https://t.co/Z21L4zoYXx",0,Twitter for iPhone,
Leftist Feminist Atheist Ⓥegan ProLife ⓅⓁ Grunger,1654899787,"Seattle, WA",2023-01-22 07:43:43,"I'm pro-life and I'm not only for universal healthcare but also universal food, water, shelter, utilities, clothing… https://t.co/YiPcjaeVGm",2,Twitter Web App,
Leftist Feminist Atheist Ⓥegan ProLife ⓅⓁ Grunger,1654899787,"Seattle, WA",2023-01-22 07:43:04,"@PoetPhilly @RehumanizeMaria I'm pro-life and I'm not only for universal healthcare but also universal food, water,… https://t.co/qSiuksBcrP",0,Twitter Web App,
Shawn Hereth,1590608720027082753,"Seattle, WA",2023-01-22 07:19:38,@ConsequentialBr @TakethatCt @scottstocker4 @nuhope2022 @pawley_robert @mcfunny @paramaniac9 @goz421 @tomsirolimus… https://t.co/YIe1WQm2w5,0,Twitter for Android,
⌘ left at london ⌘,2615789766,"Seattle, WA",2023-01-22 06:08:25,just because the economy is set up to continue working just fine despite every variant that’s been developing becau… https://t.co/vSsrm5sAaj,15,Twitter for iPhone,
M.. Elisa 💜💛💚,1479180118157250561,"Seattle, WA",2023-01-22 05:41:47,@MmamaLlama6 @TessPlease2010 I did it for the greater good.   I helped women across the nation re breast biopsies a… https://t.co/FfMp3ivujC,0,Twitter Web App,
🇺🇸🦅🇺🇸🦅🇺🇸America First🇺🇸🦅🇺🇸🦅🇺🇸,532742860,"Seattle, WA",2023-01-22 05:26:22,"#Abortion is NOT #Healthcare

#AbortionIsMurder https://t.co/pkszLWbu7P",0,Twitter for iPhone,
HeavyMetalSaint,1574488912545955855,"Lynnwood, WA",2023-01-22 05:00:14,@Leans2theright @AlonzoJamison2 Nothing. And I bet it’s like they’re mammograms and whatever. Virtually nonexistent… https://t.co/3wqd2FJljQ,1,Twitter for iPhone,
AlgosRus.com,946738256774705153,"Seattle, WA",2023-01-22 04:46:00,Nurses are often the unsung heroes of the healthcare world. They work long hours and deal with some of the toughest… https://t.co/2Kv8MMJx1K,0,Twitter Web App,
Wesley Miller,14960835,"Seattle, WA",2023-01-22 04:44:19,@healthbyjames I hope you’re not really in healthcare anymore.,1,Twitter for iPhone,
Jess T-R,18067514,"Seattle, WA",2023-01-22 04:41:55,Action you can take now!! A bill in state legislature to address impact of these type of healthcare provider merger… https://t.co/XoScVDb0CD,3,Twitter for iPhone,
Andy Stevens 🇺🇸,914961984101113860,"Bothell, WA",2023-01-22 04:22:20,@GregNance @EverettHerald @JLBinvestigates I think the next helpful step would be to cover 100% of ER visits if VA… https://t.co/5kzAqFBnLy,0,Twitter Web App,
Yvonne Lam,1051845583,"Seattle, WA",2023-01-22 03:38:00,"WA state tweeps, please take note.

A friend who went to the ER at least once a year for issues due to ovarian tors… https://t.co/5qNIZ1sP2W",5,Twitter Web App,
Tom Glanz ⭐⭐,7353702,"Seattle, WA",2023-01-22 03:36:14,"@SoundersFC @providence Wow, to say I have concerns about the direction of the club at this point is putting it lig… https://t.co/uD8JJJmlkF",0,Twitter for Android,
WA State & Local,828774937640841216,"Bellevue, WA",2023-01-22 03:13:00,Augmented and Virtual Reality Provide Critical Practice During Healthcare... #nowplaying #security #news #bigdata… https://t.co/NUBS1VRNah,2,Dynamic Signal,
🐇🅖 Hall,54145584,"Seattle, WA",2023-01-22 03:03:55,I love how the US healthcare system leaves you with a $378.20 bill four months after urgent care made you wait 4 ho… https://t.co/mCFOoWLdHv,0,Twitter Web App,
owner/operator space laser JSL2,1221101275489525761,"Seattle, WA",2023-01-22 02:25:59,"@jeffstorobinsky 3/ Presidents elected by the minority of voters, a Supreme Court denying the rights and will of th… https://t.co/J4cu6M0j6c",0,Twitter Web App,
D. W. - the Gutless - O'Boyle,490828190,"Seattle, WA, USA",2023-01-22 02:20:55,"I just can't stand this cop city bs. Cities can find endless budget to build useless trash, entire fake cities but… https://t.co/I6doikg0lS",1,Twitter for Android,
Meier G. Lowenthal,16522994,"Seattle, Washington",2023-01-22 02:09:49,"@GovMikeDeWine great!   how do you define ""mental illness"" or ""mental healthcare""?  thank you",0,Twitter for iPhone,
Dan Doherty,1053178378449182720,University of Washington,2023-01-22 01:39:36,Interested in research on human brain malformations and living in awesome Seattle? Apply for the @Dohertylab resear… https://t.co/ahfmmA9kzl,9,Twitter Web App,
Ethan Davenport🌽🌽🌽🌽,750173103976689664,"Seattle,WA",2023-01-22 01:09:33,"@EweDaddy @ninaturner What she's advocating for in this tweet isn't radical in the slightest, all that's required i… https://t.co/tzuDdLH2jo",0,Twitter for Android,
2PartySystemSucks,1589781744001028096,"Mercer Island, WA",2023-01-22 00:57:41,@Jaybefaunt Nationalizing healthcare would make our healthcare system worse. The problem is big pharmaceutical and… https://t.co/25BARPxwxV,0,Twitter for iPhone,
Adam Robbings,1436436362937311233,"Seattle, WA",2023-01-22 00:30:58,"@GrammarHippy Purchaser will either be a family member, eg child buying for an elderly relative, or it will be supp… https://t.co/LkTWRzwjWZ",0,Twitter for iPhone,
ACLU of Washington,14328009,"Seattle, WA",2023-01-22 00:00:30,"Everyone deserves access to affordable, quality healthcare regardless of their identity, zip code, or medical needs… https://t.co/oiUTWe4YZY",1,TweetDeck Web App,
Anna,87132674,"Seattle, WA",2023-01-21 23:43:46,@rantingclaw721 I love/hate the empty stares when I explain to providers I've lost over 100lbs TWICE and neither ti… https://t.co/iX3IHayYqE,0,Twitter Web App,
𖤐 Moni 𖤐,125461901,Beyond The Sea,2023-01-21 23:43:36,Appropriation of what? Our symptoms and experiences help us onto the path of a formal diagnosis. Healthcare isn’t r… https://t.co/NOpk8Ten9z,0,Twitter for iPhone,
andrew smith,373737351,seattle,2023-01-21 23:42:29,"@adastroworld I think it's interesting epistemologically no matter what, but it does have policy implications. A lo… https://t.co/sAjHNieHCN",0,Twitter Web App,
mary baird,83640411,"Seattle, WA",2023-01-21 23:42:08,"@msiddique9964 @ericareport Yes, as well as retirement and healthcare reductions too!!  To bad they don’t live at the same level As most do!",0,Twitter for iPhone,
Carrie Matthews,754794399704420352,Seattle,2023-01-21 23:36:52,@TheDemocrats Yeah your union-breaking *sshole who made his career helping financial services profiteer off of poor… https://t.co/BBxSUlTbq9,0,Twitter Web App,
Urban_Tribesman #MMT Support the Nurses 💙 💙 💙,2893772003,Where Mountains meet the Sea,2023-01-21 23:29:46,"@johnredwood Strange John, that a short 13 years ago, when you took over the #NHS, it was regularly voted the best… https://t.co/feaY5GuQQ8",0,Twitter for iPad,
Zach Foote,364075809,"Seattle, WA",2023-01-21 23:21:59,"@shane_kurza Well, they do have 16+ weeks of severance, healthcare benefits for half a year and so forth- I’d say t… https://t.co/8ednrAEN1C",0,Twitter for iPhone,
Blue,1359354625946652676,Seattle,2023-01-21 23:12:46,@nathaliejacoby1 For profit healthcare,0,Twitter Web App,
With or Without You🎵,1267655386859032576,Under the Sea,2023-01-21 22:44:55,@RedBugImages @laurenboebert Killing someone innocent shouldn't be an option...right? Healthcare starts with being… https://t.co/fSLMZocfxP,0,Twitter for Android,
dmg04,24735658,"Seattle, WA",2023-01-21 22:35:57,"@runwithskizzers I'm so sorry that I want livable wages and healthcare for all...

So damn entitled!",5,Twitter Web App,
With or Without You🎵,1267655386859032576,Under the Sea,2023-01-21 22:26:44,@RedBugImages @laurenboebert I'm not the one who completely ignores the thousands of free women's healthcare clinic… https://t.co/f6KDeXkcfm,0,Twitter for Android,
TMJ-WAT Nursing Jobs,120647454,"Tacoma, WA",2023-01-21 22:21:12,"Want to land a job like ""Registered Nurse (RN)"" at Aveanna Healthcare? Applicant tracking systems look for specific… https://t.co/Fl0mdpWsVX",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.336407, 47.6084921]}"
Andy Hawkins,992536751494152192,"Redmond, WA",2023-01-21 22:08:17,"Former British health secretary has a plan to reform the NHS, allowing patients to feel what it's like to be an Ame… https://t.co/0HixZTuRdP",0,Twitter Web App,
Jimmy The Geek 🇺🇦🌻,430340383,"Seattle, WA",2023-01-21 21:45:14,@jeffstorobinsky Obama. He had an adversarial Congress that hated him (too much melanin) yet he got a lot done. He… https://t.co/VnBd9wl4i1,0,Twitter for iPhone,
Kathleen Lovlie,608233160,"Bremerton, WA",2023-01-21 21:37:30,@KristanHawkins Abortion is healthcare because healthcare isn’t only about treating diseases. Duh.,2,Twitter for iPhone,
Luca Soldaini 🎀,1865461842,"Seattle, WA, USA",2023-01-21 21:10:31,$363 bill just arrived! love US healthcare 🫠 https://t.co/5As5xFVWNh,0,Twitter Web App,
Mosio | for Research,11006,San Francisco | Seattle,2023-01-21 21:06:01,VR technology can improve anxiety and depression in adults with disabilities https://t.co/dnqu8fCwkP #VR… https://t.co/9iXisVD4pU,0,Buffer,
TisBest Philanthropy,60938121,Seattle,2023-01-21 21:00:33,"Surprise someone who is having a busy week, celebrating a milestone, sick, away from home, new to the neighborhood,… https://t.co/RO1ucIrgWh",0,ContentStudio.io,
Matt,36231554,SEA,2023-01-21 20:44:06,"@AlbanyCheshire @Fiordiligi5 @JacksonBFelts By that measure we should also persecute planned Parenthood, and other… https://t.co/J1DF4wCHNZ",0,Twitter for Android,
Vampwire,166428472,"Seattle, WA",2023-01-21 20:04:49,"@ThePolyculean The New Deal, Single Payer healthcare, rent control, welfare, food stamps for a few examples of succ… https://t.co/FAHlh1iTo8",0,Twitter for Android,
Cheshire Cat,1427449522930688044,"Seattle, WA",2023-01-21 19:53:47,@manifestoagogo @stewak2 They are permanently mandated for all healthcare in WA state.,0,Twitter for Android,
Dr Bob Gill,1599212660,Kent,2023-01-21 19:13:53,Mafia move into US healthcare fraud business🤯 https://t.co/PT6X2sTeMx,2,Twitter for Android,
The Elegant Fool,1095762667812331526,"Seattle, WA",2023-01-21 18:55:59,"@Number_1776 @MarioNawfal And .01% times 300mm is 3mm deaths. Enough bodies to cripple a state, a healthcare system. Facts.",0,Twitter for Android,
TJ Franklin ☮️,24492056,Kirkland,2023-01-21 18:36:30,"@GaryAll33730815 @rr_edmonds Take away the safety nets for the poor, deprive them of meaningful healthcare, and hou… https://t.co/1GuIhNORvo",0,Twitter for iPad,
Becky Lyn,3027815894,"Seattle, WA",2023-01-21 18:25:19,"@MikeSington I’ve had the original 2, the 2 boosters, and the bivalent booster. Zero COVID. I’m a healthcare provid… https://t.co/KGKmaLOlNh",0,Twitter for iPad,
Daergar,17103002,"Seattle, WA",2023-01-21 18:21:31,Incredibly disappointed to see the Sounders organization go with a healthcare company so antithetical to their stat… https://t.co/FCyLVI1sSr,0,Twitter Web App,
John Smart,14376171,"Seattle, WA",2023-01-21 18:10:27,"We could fix the deficit right now if there was political will.

1. increase taxes on 0.1%

2. world wide corporate… https://t.co/x0UoLrzaji",0,Twitter for iPhone,
Kshama Solidarity Campaign,556206038,"Seattle, WA",2023-01-21 18:08:14,"What are we fighting for?
👉Workers need a REAL raise
👉Good union jobs for all
👉Fight racism,sexism &amp; all oppression… https://t.co/iMYkYGX83G",8,Twitter for iPhone,
AnnaMaria Phelps 🔜 Terminal City Con,949309626474008578,"Seattle, WA",2023-01-21 17:58:18,@boardgamesjames For some lawmakers its even more insidious - perpetuating the poverty cycle (poor nutrition - poor… https://t.co/wl9sBBY4Gv,0,Twitter Web App,
Duwamishygirl,872494730365378560,"Seattle, WA",2023-01-21 17:57:53,@seanhannity They don't use any public $ for abortion and provide low income women access to birth control and heal… https://t.co/HjrPX16FDF,0,Twitter for iPhone,
Mathew Renner 🇺🇸🇺🇦,35700479,Des Moines WA,2023-01-21 17:54:40,"@darinolson Universal Healthcare is garbage, I know. I lived under it. Universal childcare is about replacing paren… https://t.co/F7duy7UGDM",0,Twitter Web App,
Aaron Schwarz,234896506,"Issaquah, WA",2023-01-21 17:49:02,"Mental Healthcare Revolution with Ego Dissolution

~ Clinical Setting
~ 1 larger dose of LSD under medical guidance… https://t.co/AqEPCdZaEy",0,Twitter Web App,
William McDonald,68590944,"Everett, WA",2023-01-21 17:40:53,"@SoxDem7 @SocDoneLeft I most certainly am not.  Fuck theocracy, fuck limiting the agency between two consenting adu… https://t.co/N1gGmmUbty",0,Twitter Web App,
John Smart,14376171,"Seattle, WA",2023-01-21 17:30:16,"@Alan78174572 @Jbizz2012 @KD8ESU @micsolana What do you cut? Everyone says this but then when it’s looked at, it’s… https://t.co/8Co0a0MQlC",0,Twitter for iPhone,
MoonChimeFamily 🇵🇸,1451220860874887178,"Bellevue, WA",2023-01-21 17:24:07,"@MarkAHoffman2 @stkirsch You would think, but he is actually a Leftist from a Leftist family who founded the concep… https://t.co/MTOBXZJaoN",0,Twitter for Android,
MarkItZeroDonny,1044015500605284352,"Seattle, WA",2023-01-21 17:20:16,"@50percentBrkB @jgheller @pitdesi Fun fact, its not. If you count uninhabitable Russia in your calculation than you… https://t.co/bZqF8qeBW6",0,Twitter for Android,
MoonChimeFamily 🇵🇸,1451220860874887178,"Bellevue, WA",2023-01-21 17:19:22,Now consider....it was probably at least in part because JFK wanted Universal Healthcare? 🤔 https://t.co/wY1goc6m0J,0,Twitter for Android,
Kristin,1156249928001191936,"Seattle, WA",2023-01-21 17:13:53,"@CraigSDTFW @CaerusPolaris @LanaDekens @AnthonyKlebens1 @DJRumspringer @catturd2 Lockdowns began under Trump, so...… https://t.co/eYy27PUG3X",0,Twitter for Android,
Dr Bob Gill,1599212660,Kent,2023-01-21 17:09:39,"Reading about endemically fraudulent US healthcare system UK has imported.
@Conservatives &amp; @UKLabour have allowed… https://t.co/Esz6Txl1wK",45,Twitter for Android,
Ageility,3611362829,"Newton, MA",2023-01-21 17:02:44,We believe in providing a great environment for our residents and team members. Nothing can bring more joy than ser… https://t.co/I6AuWH1cfi,0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.118237, 47.6701193]}"
jer,42519313,"Seattle, WA",2023-01-21 17:02:42,@xmxrenegade I’ve heard so many stories like this in healthcare but I’m so grateful there are still people like you… https://t.co/nZ4eS4ga9r,0,Twitter for iPhone,
Karen Price ☮️🌊🇺🇦 🌈 🌊💙,2725619570,"Federal Way, WA",2023-01-21 16:43:50,Meditation could have positive impact on gut and overall health https://t.co/QjONsAQbuv I've never mastered… https://t.co/b4cdq6xKic,1,Twitter Web App,
Kiran Suresh is... WRITING?!,1539709245444149248,"Seattle, WA",2023-01-21 16:39:53,@jillianspiridon I only support politicians who advocate for universal healthcare ✊🏼,0,Twitter for Android,
the real chris brown,3010531710,under the sea,2023-01-21 16:25:55,This is MIND BLOWING. Our healthcare costs may be exorbitant but at least our doctors can’t sign our death warrant!… https://t.co/bwxqeju7EK,0,Twitter for iPhone,
With or Without You🎵,1267655386859032576,Under the Sea,2023-01-21 16:20:59,@JRobertJohnson4 @laurenboebert Oh it doesn't? Please enlighten me then as to why there's so much defense to keep P… https://t.co/58bjD1DmNr,0,Twitter for Android,
"Cristin Mount, MD",1177341515829432320,"Tacoma, WA",2023-01-21 16:17:11,"Max Harry Weill Lecture @SCCM from Robert O. Roswell, MD on why it is imperative that we attend to &amp; work to correc… https://t.co/VkkHG2b56r",4,Twitter for iPhone,
Laura Evans,1202322650262949889,"Seattle, WA, USA",2023-01-21 16:12:36,Amazing talk on our obligations in healthcare to improve #healthequity by @DrRobRoswell at #SCCM2023!  It is so gre… https://t.co/Do83XwganC,16,Twitter for iPhone,
Michael Chiorean,893900090,"Seattle, WA",2023-01-21 16:01:41,"Years from now, adoption and competence in #artificalintelligence may provide an edge at the least (i.e. reading yo… https://t.co/6i1YAEUFLG",4,Twitter for Android,
ash,14229535,"Seattle, WA",2023-01-21 16:00:17,@mindyisser @manitobamichael A lot of people have a really hard time understanding not everyone can stay home for y… https://t.co/wWElO2QyTz,0,Twitter for iPhone,
Mosio | for Research,11006,San Francisco | Seattle,2023-01-21 16:00:09,The Continuing Rise of AI in the Healthcare Sector in 2023 https://t.co/AK2siyOLc0 #AI #ArtificialInteligence… https://t.co/S3raLd4GD4,0,Buffer,
Josh Cutler,1280929464612876288,Earth,2023-01-21 15:40:06,@HayleyQuinn This week was like that for me.  I presented today a group of healthcare execs this week that looked a… https://t.co/nAyXDi2006,0,Twitter for iPad,
"Cristin Mount, MD",1177341515829432320,"Tacoma, WA",2023-01-21 15:39:48,.@SCCM Global Health initiative with Direct Relief partnering to increase healthcare capability around the 🌍… https://t.co/ZaTzp1k0FY,0,Twitter for iPhone,
Georgina Black,714199975287087104,"Seattle, WA",2023-01-21 15:32:12,@AutSciPerson And if you’re in the military… you’ll get discharged if you get an official diagnosis. You not only l… https://t.co/467VAon2Nb,5,Twitter for iPhone,
PNWdefeatdarkness,1304203530002075648,"Clinton,WA",2023-01-21 15:30:39,@jcj This is why a Universal Healthcare system is needed in US.,0,Twitter for iPad,
Georgina Black,714199975287087104,"Seattle, WA",2023-01-21 15:23:47,"@NanoPierogi @njoybetz If you’re military &amp; retiring, can forget just how how much we get. How much our FREE health… https://t.co/AzbV9xzrSc",0,Twitter for iPhone,
Emily Buswold,765102168,,2023-01-21 14:42:56,@LoudMouthTre Those people are on Medicaid. Also January is the most expensive time for healthcare/medications beca… https://t.co/ML57NpKVnf,0,Twitter for iPhone,
ProvSwedishRICO,1458730358057230339,"Seattle, WA",2023-01-21 14:31:45,@ushahmd @ProvSwedish @SoundersFC @WADeptHealth Let's get this started because I am so tired of garbage pretending to be healthcare.,0,Twitter for Android,
BlueBin,2434154126,"Seattle, WA",2023-01-21 14:10:43,"Healthcare supply chains are complex and dynamic. By current state mapping of the product’s movement, you can look… https://t.co/ML2MpZwaDC",0,Revive Social App,
AlgosRus.com,946738256774705153,"Seattle, WA",2023-01-21 13:58:30,Looking for an easy way to provide telemedicine services? Join our on-demand doctor platform and start seeing patie… https://t.co/c94OBsHboY,0,Twitter Web App,
Chloe Peters,227134081,"Seattle, WA",2023-01-21 13:56:45,It’s healthcare. https://t.co/pcpf06ufUH,0,Twitter for iPhone,
Budget Hireling,810549686998159360,"Seattle, WA",2023-01-21 13:04:01,"@Ejmiller25 Boneheads like this are why we can't have a single nice thing in America. ""Wow you want healthcare? I g… https://t.co/VrDG7HOrEC",0,Twitter for Android,
Dana J Ufkes,4826667536,"Seattle, WA",2023-01-21 12:05:04,"@Perri4health @MorriganResists Yes, there is not a bigger group of us then litterally all of us. Medicare for all,… https://t.co/jZZOTVSyoy",0,Twitter for iPhone,
Mouli Srini,1371476814,"Seattle, WA",2023-01-21 11:20:04,Applications of Augmented Reality in Healthcare https://t.co/MTijvCDpYs https://t.co/Gk6SrYPPeu,0,SocialChamp IO ,
Vanessa 🇵🇷🇺🇸,1519139913056198656,"Tacoma, WA",2023-01-21 10:41:02,"@campbay1 @prageru We can’t even help ourselves . If the US can’t even make its own bed, it has no business doing s… https://t.co/abvU6484Kb",0,Twitter for iPhone,
Kent Care Professionals,1485703321356800007,Kent,2023-01-21 09:00:12,Develop your knowledge and skills with a job in healthcare. Want to apply for a job or register your interest - fol… https://t.co/QA9L56MI9Q,0,Adobe Express,
Vivek,2171809035,"Seattle, WA",2023-01-21 08:44:15,okay we have an answer ~2.5B/yr although I'd expect around double of this - 500K/yr(including healthcare benefits a… https://t.co/E7qDX13kWS,0,Twitter for iPhone,
⭐️️ Keith Hodo ⭐️️🌈 #BlackLivesMatter,88741171,"Seattle, WA",2023-01-21 08:19:43,"@BeerBaronessWA @queerbillydelux @SoundersFC Thanks.

I read up on them earlier. I'm appalled by the Sounders choic… https://t.co/GJiapw2ClP",0,Twitter for Android,
Jeffrey Hulten,12951352,"Seattle, WA",2023-01-21 08:14:09,"RT @tiffanycli@mastodon.social
My timeline is full of layoffs in media and tech. What’s worse is that healthcare in… https://t.co/4gC9GSl8bE",0,Moa Bridge,
Prestige Jones,621257942,Seattle,2023-01-21 07:19:58,@RickStrom So Dungy is for saving lives huh… is he against gun violence? Anti war? Pro Vax? Universal Healthcare? A… https://t.co/ZpjgdE5DbQ,0,Twitter for iPhone,
Jeffrey Hulten,12951352,"Seattle, WA",2023-01-21 07:01:13,"RT @whoosh@techhub.social
Alan 
When the profit motive doesn't align with the goal, then that system should never b… https://t.co/IgMRti8Vvb",0,Moa Bridge,
Jeffrey Hulten,12951352,"Seattle, WA",2023-01-21 07:01:12,"RT @Birgitomo@mstdn.ca
RT NaheedD

How to privatize public healthcare:

Step 1: Underfund the public system.
Step 2… https://t.co/kJOFUi2hCF",0,Moa Bridge,
lp,942799406,"Seattle, WA",2023-01-21 06:50:00,in my 8 years in healthcare i've never had a patient say such disgustingly vile things to me as the patient i have tonight 🤢🤮,0,Twitter for iPhone,
Vox Noctis,2543015099,"Tacoma, WA",2023-01-21 06:28:12,@Lalanith1 @EricSomeNumbers @JoeBiden Foreign Aid is 2% of the US budget. It’s expense is negligible to the cost of… https://t.co/8wGou6UnOO,0,Twitter for iPhone,
Carolyn Tu,57243327,"Seattle, WA",2023-01-21 05:41:25,@Fitzandlivlove @restedaniels @burg21 Most percent of the healthcare professionals that I see don’t have visible je… https://t.co/17908HBKtP,0,Twitter for iPhone,
tweets aren’t loading right now.,8033862,seattle,2023-01-21 05:36:24,"🧵/🚨URGENT— angelia, 45, a healthcare worker was mandated to take pfizer’s COVID-19 vaccine, 3 days later paralyzed… https://t.co/HwV98kb2dY",1,Twitter for iPhone,
⭐️️ Keith Hodo ⭐️️🌈 #BlackLivesMatter,88741171,"Seattle, WA",2023-01-21 05:35:52,@queerbillydelux @SoundersFC Yeah and that's bullshit. It shouldn't need to be a law. Your healthcare should be an inalienable right.,0,Twitter for Android,
Sue Skinner 🌟⭐️💙💚⚽,1549332534,West Seattle,2023-01-21 05:09:45,"@LiamTheMurse *Access to healthcare, which is entirely inequitable in this country.",0,Twitter for iPhone,
Sue Skinner 🌟⭐️💙💚⚽,1549332534,West Seattle,2023-01-21 05:03:18,"@torrezriley That said this is a good argument for a nationalized healthcare system (pipe dream, I know).",0,Twitter for iPhone,
FocusGroups.org,3726519792,"Seattle, WA",2023-01-21 05:01:39,"Focus Group for Seniors on Healthcare in NYC 
https://t.co/5yoLV6NxuL https://t.co/x06Pb7ca9J",0,Zapier.com,
Sue Skinner 🌟⭐️💙💚⚽,1549332534,West Seattle,2023-01-21 04:41:03,"@LiamTheMurse As a fellow healthcare provider, I have to respectfully disagree. Healthcare is indeed a human right… https://t.co/CbhZ5LC8nj",0,Twitter for iPhone,
Warren Schirtzinger,80671823,"Seattle, WA",2023-01-21 04:38:49,@DivaBiotech It's mind-boggling to watch #healthcare and #renewableenergy refuse to learn from the experience of Si… https://t.co/De1ExMRdLt,0,Twitter Web App,
Paul Cox,69823284,"Seattle, WA",2023-01-21 04:32:10,"@salesonsounders @TheBlueTheGreen @ELROLONW On top of that, Providence has a number of people who have complained t… https://t.co/1FxYdGIu2r",0,Twitter Web App,
